Experiment,Obstacle density,Grid size,s/g distance,Path cost,Memory Allocation (KB),Execution time (ms)
2,0.25,300.0,420.0214280248092,459.64212075605485,13002.81884765625,559.87612
3,0.25,300.0,420.0214280248092,492.7903171404453,13619.290234375,3399.3995600000003
4,0.25,300.0,420.0214280248092,437.03349878470345,1725.6826171875,5973.58288
