Experiment,Obstacle density,Grid size,s/g distance,Path cost,Memory Allocation (KB),Execution time (ms)
2,0.4000000000000001,301.0,268.70057685088807,323.9504109743726,12814.9625,300.11523
3,0.4000000000000001,301.0,268.70057685088807,604.6507934888331,6941.68828125,3507.6506
4,0.4000000000000001,301.0,268.70057685088807,296.0290906308128,1142.96337890625,3127.47641
