Experiment,Obstacle density,Grid size,s/g distance,Path cost,Memory Allocation (KB),Execution time (ms)
2,0.4000000000000001,301.0,268.70057685088807,323.9504109743726,12805.3953125,369.45799
3,0.4000000000000001,301.0,268.70057685088807,604.6507934888331,6941.6931640625,3614.26708
4,0.4000000000000001,301.0,268.70057685088807,296.0290906308128,1142.96337890625,2856.0474600000002
