Algorithm,Metric,Grid number,Mean,Median,Standard Deviation,Minimum,Maximum
LRTA*,Memory Allocation (KB),3.0,384.46484375,384.46484375,0.0,384.46484375,384.46484375
LRTA*,Memory Allocation (KB),4.0,467.75390625,467.75390625,0.0,467.75390625,467.75390625
LRTA*,Memory Allocation (KB),5.0,521.51171875,521.51171875,0.0,521.51171875,521.51171875
LRTA*,Memory Allocation (KB),6.0,514.48046875,514.48046875,0.0,514.48046875,514.48046875
LRTA*,Memory Allocation (KB),7.0,538.43359375,538.43359375,0.0,538.43359375,538.43359375
D*,Memory Allocation (KB),1.0,948.353125,947.2578125,10.953124999999996,947.2578125,1056.7890625
D*,Memory Allocation (KB),2.0,946.6015625,946.6015625,0.0,946.6015625,946.6015625
D*,Memory Allocation (KB),3.0,943.0703125,943.0703125,0.0,943.0703125,943.0703125
D*,Memory Allocation (KB),4.0,945.5703125,945.5703125,0.0,945.5703125,945.5703125
D*,Memory Allocation (KB),5.0,942.0703125,942.0703125,0.0,942.0703125,942.0703125
D*,Memory Allocation (KB),6.0,941.6015625,941.6015625,0.0,941.6015625,941.6015625
D*,Memory Allocation (KB),7.0,941.1640625,941.1640625,0.0,941.1640625,941.1640625
D* Lite,Memory Allocation (KB),1.0,147.165703125,146.36328125,8.02421875,146.36328125,226.60546875
D* Lite,Memory Allocation (KB),2.0,138.55078125,138.55078125,0.0,138.55078125,138.55078125
D* Lite,Memory Allocation (KB),3.0,137.546953125,137.55078125,0.038281249999999975,137.16796875,137.55078125
D* Lite,Memory Allocation (KB),4.0,136.558203125,136.56640625,0.08203125000000003,135.74609375,136.56640625
D* Lite,Memory Allocation (KB),5.0,139.348203125,139.34765625,0.005468749999999997,139.34765625,139.40234375
D* Lite,Memory Allocation (KB),6.0,142.12109375,142.12109375,0.0,142.12109375,142.12109375
D* Lite,Memory Allocation (KB),7.0,145.16015625,145.16015625,0.0,145.16015625,145.16015625
LPA*,Memory Allocation (KB),1.0,147.3653125,146.5,8.653125000000003,146.5,233.03125
LPA*,Memory Allocation (KB),2.0,138.9453125,138.9453125,0.0,138.9453125,138.9453125
LPA*,Memory Allocation (KB),3.0,137.33390625,137.34375,0.09843749999999996,136.359375,137.34375
LPA*,Memory Allocation (KB),4.0,139.015078125,139.015625,0.005468749999999997,138.9609375,139.015625
LPA*,Memory Allocation (KB),5.0,141.936953125,141.9375,0.005468749999999997,141.8828125,141.9375
LPA*,Memory Allocation (KB),6.0,144.46875,144.46875,0.0,144.46875,144.46875
LPA*,Memory Allocation (KB),7.0,146.61171875,146.6171875,0.054687499999999965,146.0703125,146.6171875
ARA*,Number of expanded nodes,1.0,4634.0,4634.0,0.0,4634.0,4634.0
ARA*,Number of expanded nodes,2.0,4568.0,4568.0,0.0,4568.0,4568.0
ARA*,Number of expanded nodes,3.0,4873.0,4873.0,0.0,4873.0,4873.0
ARA*,Number of expanded nodes,4.0,5556.0,5556.0,0.0,5556.0,5556.0
ARA*,Number of expanded nodes,5.0,4535.0,4535.0,0.0,4535.0,4535.0
ARA*,Number of expanded nodes,6.0,4509.0,4509.0,0.0,4509.0,4509.0
ARA*,Number of expanded nodes,7.0,4261.0,4261.0,0.0,4261.0,4261.0
RTAA**,Number of expanded nodes,1.0,2194.0,2194.0,0.0,2194.0,2194.0
RTAA**,Number of expanded nodes,2.0,2862.0,2862.0,0.0,2862.0,2862.0
RTAA**,Number of expanded nodes,3.0,2974.0,2974.0,0.0,2974.0,2974.0
RTAA**,Number of expanded nodes,4.0,3901.0,3901.0,0.0,3901.0,3901.0
RTAA**,Number of expanded nodes,5.0,3446.0,3446.0,0.0,3446.0,3446.0
RTAA**,Number of expanded nodes,6.0,4072.0,4072.0,0.0,4072.0,4072.0
RTAA**,Number of expanded nodes,7.0,3581.0,3581.0,0.0,3581.0,3581.0
LRTA*,Number of expanded nodes,1.0,1317.0,1317.0,0.0,1317.0,1317.0
LRTA*,Number of expanded nodes,2.0,1859.0,1859.0,0.0,1859.0,1859.0
LRTA*,Number of expanded nodes,3.0,1928.0,1928.0,0.0,1928.0,1928.0
LRTA*,Number of expanded nodes,4.0,3158.0,3158.0,0.0,3158.0,3158.0
LRTA*,Number of expanded nodes,5.0,3969.0,3969.0,0.0,3969.0,3969.0
LRTA*,Number of expanded nodes,6.0,3936.0,3936.0,0.0,3936.0,3936.0
LRTA*,Number of expanded nodes,7.0,4235.0,4235.0,0.0,4235.0,4235.0
D*,Number of expanded nodes,1.0,14230.0,14230.0,0.0,14230.0,14230.0
D*,Number of expanded nodes,2.0,14062.0,14062.0,0.0,14062.0,14062.0
D*,Number of expanded nodes,3.0,13894.0,13894.0,0.0,13894.0,13894.0
D*,Number of expanded nodes,4.0,13726.0,13726.0,0.0,13726.0,13726.0
D*,Number of expanded nodes,5.0,13558.0,13558.0,0.0,13558.0,13558.0
D*,Number of expanded nodes,6.0,13390.0,13390.0,0.0,13390.0,13390.0
D*,Number of expanded nodes,7.0,13222.0,13222.0,0.0,13222.0,13222.0
D* Lite,Number of expanded nodes,1.0,1233.0,1233.0,0.0,1233.0,1233.0
D* Lite,Number of expanded nodes,2.0,1524.0,1524.0,0.0,1524.0,1524.0
D* Lite,Number of expanded nodes,3.0,1609.0,1609.0,0.0,1609.0,1609.0
D* Lite,Number of expanded nodes,4.0,1657.0,1657.0,0.0,1657.0,1657.0
D* Lite,Number of expanded nodes,5.0,1687.0,1687.0,0.0,1687.0,1687.0
D* Lite,Number of expanded nodes,6.0,1717.0,1717.0,0.0,1717.0,1717.0
D* Lite,Number of expanded nodes,7.0,1747.0,1747.0,0.0,1747.0,1747.0
LPA*,Number of expanded nodes,1.0,1346.0,1346.0,0.0,1346.0,1346.0
LPA*,Number of expanded nodes,2.0,1583.0,1583.0,0.0,1583.0,1583.0
LPA*,Number of expanded nodes,3.0,1659.0,1659.0,0.0,1659.0,1659.0
LPA*,Number of expanded nodes,4.0,1689.0,1689.0,0.0,1689.0,1689.0
LPA*,Number of expanded nodes,5.0,1719.0,1719.0,0.0,1719.0,1719.0
LPA*,Number of expanded nodes,6.0,1745.0,1745.0,0.0,1745.0,1745.0
LPA*,Number of expanded nodes,7.0,1772.0,1772.0,0.0,1772.0,1772.0
ARA*,Number of searches,1.0,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,2.0,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,3.0,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,4.0,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,5.0,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,6.0,5.0,5.0,0.0,5.0,5.0
ARA*,Number of searches,7.0,5.0,5.0,0.0,5.0,5.0
RTAA**,Number of searches,1.0,9.0,9.0,0.0,9.0,9.0
RTAA**,Number of searches,2.0,12.0,12.0,0.0,12.0,12.0
RTAA**,Number of searches,3.0,12.0,12.0,0.0,12.0,12.0
RTAA**,Number of searches,4.0,16.0,16.0,0.0,16.0,16.0
RTAA**,Number of searches,5.0,14.0,14.0,0.0,14.0,14.0
RTAA**,Number of searches,6.0,17.0,17.0,0.0,17.0,17.0
RTAA**,Number of searches,7.0,15.0,15.0,0.0,15.0,15.0
LRTA*,Number of searches,1.0,6.0,6.0,0.0,6.0,6.0
LRTA*,Number of searches,2.0,8.0,8.0,0.0,8.0,8.0
LRTA*,Number of searches,3.0,8.0,8.0,0.0,8.0,8.0
LRTA*,Number of searches,4.0,13.0,13.0,0.0,13.0,13.0
LRTA*,Number of searches,5.0,16.0,16.0,0.0,16.0,16.0
LRTA*,Number of searches,6.0,16.0,16.0,0.0,16.0,16.0
LRTA*,Number of searches,7.0,17.0,17.0,0.0,17.0,17.0
D*,Number of searches,1.0,1914.0,1914.0,0.0,1914.0,1914.0
D*,Number of searches,2.0,1902.0,1902.0,0.0,1902.0,1902.0
D*,Number of searches,3.0,1890.0,1890.0,0.0,1890.0,1890.0
D*,Number of searches,4.0,1878.0,1878.0,0.0,1878.0,1878.0
D*,Number of searches,5.0,1866.0,1866.0,0.0,1866.0,1866.0
D*,Number of searches,6.0,1854.0,1854.0,0.0,1854.0,1854.0
D*,Number of searches,7.0,1842.0,1842.0,0.0,1842.0,1842.0
D* Lite,Number of searches,1.0,1.0,1.0,0.0,1.0,1.0
D* Lite,Number of searches,2.0,1.0,1.0,0.0,1.0,1.0
D* Lite,Number of searches,3.0,1.0,1.0,0.0,1.0,1.0
D* Lite,Number of searches,4.0,1.0,1.0,0.0,1.0,1.0
D* Lite,Number of searches,5.0,1.0,1.0,0.0,1.0,1.0
D* Lite,Number of searches,6.0,1.0,1.0,0.0,1.0,1.0
D* Lite,Number of searches,7.0,1.0,1.0,0.0,1.0,1.0
LPA*,Number of searches,1.0,2.0,2.0,0.0,2.0,2.0
LPA*,Number of searches,2.0,2.0,2.0,0.0,2.0,2.0
LPA*,Number of searches,3.0,2.0,2.0,0.0,2.0,2.0
LPA*,Number of searches,4.0,2.0,2.0,0.0,2.0,2.0
LPA*,Number of searches,5.0,2.0,2.0,0.0,2.0,2.0
LPA*,Number of searches,6.0,2.0,2.0,0.0,2.0,2.0
LPA*,Number of searches,7.0,2.0,2.0,0.0,2.0,2.0
