Algorithm,Metric,Obstacle Density,Mean,Median,Standard Deviation,Minimum,Maximum
ARA*,Execution time (ms),0.1,825.8608748989999,828.2970155,25.75804130034546,772.638195,889.071538
ARA*,Execution time (ms),0.15,869.920058457,874.693255,27.87755658487103,811.003264,924.562762
ARA*,Execution time (ms),0.2,877.79178017,873.2755985,39.70299846738826,824.241289,986.846916
ARA*,Execution time (ms),0.25,926.371694427,839.014554,144.5190291741373,802.73214,1242.320175
ARA*,Execution time (ms),0.3,1013.048159491,957.580528,208.17749182831403,767.289924,1590.797876
ARA*,Execution time (ms),0.3500000000000001,1431.670451532,1272.610318,567.0884366387479,798.461122,2909.628949
ARA*,Execution time (ms),0.4000000000000001,2921.143152926,1908.058749,2373.576926207122,699.078299,7319.148383
RTAA**,Execution time (ms),0.1,254.500427973,257.16576150000003,17.65907631987538,212.560958,293.387028
RTAA**,Execution time (ms),0.15,265.248009894,262.983316,20.638772046976005,220.500348,307.65264
RTAA**,Execution time (ms),0.2,272.661699225,275.360161,26.0326930308007,230.003694,332.009188
RTAA**,Execution time (ms),0.25,263.63063489800004,270.306044,22.468897269198028,215.789409,302.036602
RTAA**,Execution time (ms),0.3,258.546868718,259.443517,10.172701104071322,232.763405,280.188495
RTAA**,Execution time (ms),0.3500000000000001,249.290539029,248.0568745,12.766864226702907,222.569739,283.515215
RTAA**,Execution time (ms),0.4000000000000001,236.03026893700002,237.221034,16.0443022585012,205.022906,273.041697
LRTA*,Execution time (ms),0.1,1931.7852050630001,1965.4042765,262.1111367358986,1491.033053,2297.788656
LRTA*,Execution time (ms),0.15,2220.7500254579995,2277.0184449999997,448.5394657822698,1368.115382,2951.419543
LRTA*,Execution time (ms),0.2,2611.497856048,2626.6576985,329.21485745986746,2060.018098,3184.387
LRTA*,Execution time (ms),0.25,2711.658255798,2816.3257235,501.47115242001337,1725.320532,3495.564528
LRTA*,Execution time (ms),0.3,3575.9853861750003,3100.735309,1432.1113068339598,1758.441642,11436.369083
LRTA*,Execution time (ms),0.3500000000000001,3790.305694933,3321.477367,1278.6455492506434,2389.890249,11321.878821
LRTA*,Execution time (ms),0.4000000000000001,3651.4199216039997,3269.59146,1182.7263675756165,2202.602451,11253.050306
