Algorithm,Metric,Obstacle Density,Mean,Median,Standard Deviation,Minimum,Maximum
D* Lite,Path cost,0.2,277.5359015527164,277.4873734152925,0.9448809295893786,276.3158005400387,279.144227664785
D* Lite,Path cost,0.25,279.73762594698667,279.53762594698674,1.7213558506727549,276.90158697766566,283.002092041054
D* Lite,Path cost,0.3,283.7937659289854,284.4665581351212,2.0109100458225013,278.6589462905464,285.6883835420691
D* Lite,Path cost,0.3500000000000001,288.6883835420692,288.5670631985095,1.617286708680589,285.9310242291884,292.5168106668154
D* Lite,Path cost,0.4000000000000001,296.0290906308128,295.9604614807113,2.973962702873691,291.78888860545743,301.4457428549499
LPA*,Path cost,0.1,285.77122625454376,285.9812767608826,1.3963091862923627,283.34523779156154,288.03152929257675
LPA*,Path cost,0.15,295.3538597629131,295.6467529817265,1.8227537582668967,291.54624791833817,297.4041122946072
LPA*,Path cost,0.2,305.90634175226586,305.26197667087627,2.8701608155318312,303.2619766708761,312.91883092036863
LPA*,Path cost,0.25,319.89486271093966,318.8563850798546,4.452630574558592,314.97770542341425,329.5634918610411
LPA*,Path cost,0.3,336.489271119918,335.5721138323926,5.0296769532138965,326.10764773832534,343.7645019878178
LPA*,Path cost,0.3500000000000001,382.2317026029319,373.0157646462885,16.216127759238894,361.3380951166248,406.89444430272886
LPA*,Path cost,0.4000000000000001,604.7235856949688,564.5010460205272,147.41063928292434,464.8944443027289,999.1614716074884
ARA*,Memory Allocation (KB),0.1,5012.865911458333,4385.01171875,815.3473533128546,4292.015625,6088.1015625
ARA*,Memory Allocation (KB),0.15,7086.9796875,7538.00390625,723.6884428084734,5927.25,7609.484375
ARA*,Memory Allocation (KB),0.2,7541.43203125,7514.83203125,85.5953773549782,7460.328125,7747.75
ARA*,Memory Allocation (KB),0.25,6946.9421875,7401.80859375,857.1339756678265,5909.6953125,8011.1015625
ARA*,Memory Allocation (KB),0.3,6697.2015625,6764.078125,1206.3237503295538,4213.84375,8440.8828125
ARA*,Memory Allocation (KB),0.3500000000000001,5817.44609375,4815.4765625,1822.541447304652,4017.984375,10152.96875
ARA*,Memory Allocation (KB),0.4000000000000001,6942.57578125,5457.123046875,3547.201366964878,2639.71875,13830.30859375
RTAA**,Memory Allocation (KB),0.1,12822.864348958334,12823.60546875,29.70879394485285,12772.03515625,12869.03515625
RTAA**,Memory Allocation (KB),0.15,12848.63125,12847.984375,38.517593942729,12777.83203125,12906.97265625
RTAA**,Memory Allocation (KB),0.2,12866.553125,12874.4296875,52.7995696328921,12797.65234375,12967.43359375
RTAA**,Memory Allocation (KB),0.25,12854.8796875,12871.1015625,46.820226863153145,12764.22265625,12917.84765625
RTAA**,Memory Allocation (KB),0.3,12855.92578125,12859.93359375,23.147323667459638,12808.53515625,12889.51953125
RTAA**,Memory Allocation (KB),0.3500000000000001,12841.15703125,12833.91015625,29.52223527933442,12794.72265625,12899.19921875
