Algorithm,Metric,Obstacle Density,Mean,Median,Standard Deviation,Minimum,Maximum
RTAA**,Path cost,0.25,295.15284963613647,296.0315292925768,7.302409582498838,282.416305603427,311.44574285495
RTAA**,Path cost,0.3,301.60310216783057,302.0315292925768,6.829121690533737,287.10259710444234,311.5462479183383
RTAA**,Path cost,0.3500000000000001,311.80482656210086,311.5965004500324,7.255427172995155,301.78888860545754,325.5462479183383
RTAA**,Path cost,0.4000000000000001,323.9504109743726,324.30360723121896,8.00763953838597,311.30360723121885,335.7888886054576
LRTA*,Path cost,0.1,274.7040256394297,274.6797615707177,1.6759816759855235,272.21529547665045,277.7300141024118
LRTA*,Path cost,0.15,279.281485964988,279.3158005400387,2.084763475639794,275.7300141024118,282.07315985291945
LRTA*,Path cost,0.2,286.0530588402419,285.73001410241193,3.6293984950373184,281.24473272817323,293.4873734152925
LRTA*,Path cost,0.25,293.6790473032241,293.17366491630776,4.238708616979447,285.7300141024119,300.0731598529196
LRTA*,Path cost,0.3,306.0506201784779,306.95183950935984,9.153982573949172,287.34523779156154,321.24473272817335
LRTA*,Path cost,0.3500000000000001,319.6689967968852,320.4163056034272,11.052256565101105,304.75945135393465,340.1147904132624
LRTA*,Path cost,0.4000000000000001,339.18026663410615,343.6086937588524,20.773864045115012,305.1025971044423,370.1147904132624
D* Lite,Path cost,0.1,272.68392462675195,272.80108191427735,0.5132494720812854,271.6295090390235,273.38686835190424
D* Lite,Path cost,0.15,275.1684917334968,275.1442276647849,0.4919691214799676,273.97265478953113,275.97265478953113
D* Lite,Path cost,0.2,277.53590155271644,277.4873734152925,0.9480570088972543,276.3158005400387,279.144227664785
D* Lite,Path cost,0.25,279.7376259469867,279.53762594698674,1.727141937075396,276.90158697766566,283.002092041054
D* Lite,Path cost,0.3,283.79376592898535,284.4665581351212,2.01766942638203,278.6589462905464,285.6883835420691
D* Lite,Path cost,0.3500000000000001,288.68838354206923,288.5670631985095,1.6227229818547921,285.9310242291884,292.5168106668154
D* Lite,Path cost,0.4000000000000001,296.02909063081285,295.9604614807113,2.983959244350187,291.78888860545743,301.4457428549499
LPA*,Path cost,0.1,285.77122625454376,285.9812767608826,1.4010026757841092,283.34523779156154,288.03152929257675
LPA*,Path cost,0.15,295.3538597629131,295.6467529817265,1.8288806789335033,291.54624791833817,297.4041122946072
LPA*,Path cost,0.2,305.9063417522659,305.26197667087627,2.879808442117381,303.2619766708761,312.91883092036863
LPA*,Path cost,0.25,319.8948627109396,318.8563850798546,4.46759744222478,314.97770542341425,329.5634918610411
LPA*,Path cost,0.3,336.489271119918,335.5721138323926,5.046583478042736,326.10764773832534,343.7645019878178
LPA*,Path cost,0.3500000000000001,382.23170260293176,373.0157646462885,16.270635905415965,361.3380951166248,406.89444430272886
LPA*,Path cost,0.4000000000000001,604.7235856949687,564.5010460205272,147.90613862736623,464.8944443027289,999.1614716074884
A*,Memory Allocation (KB),0.1,2849.868828125,2863.56640625,173.13031838350318,2440.6875,3108.2890625
A*,Memory Allocation (KB),0.15,3345.9828125,3397.49609375,136.08883729311347,3070.421875,3491.453125
A*,Memory Allocation (KB),0.2,3878.3953125,3569.80859375,461.7427750883975,3459.6015625,4561.9765625
A*,Memory Allocation (KB),0.25,4434.76796875,4345.66796875,201.56161689529597,4242.8359375,4825.2578125
A*,Memory Allocation (KB),0.3,4511.7375,4457.08203125,219.02060182082843,4167.1953125,4953.4765625
A*,Memory Allocation (KB),0.3500000000000001,4922.63359375,4653.7578125,703.7944357165281,4016.71875,6244.8828125
A*,Memory Allocation (KB),0.4000000000000001,4966.769921875,4506.58984375,1947.3743403461017,2096.1953125,8922.7265625
ARA*,Memory Allocation (KB),0.1,5012.860234375,4385.01171875,818.0813503093425,4292.015625,6088.1015625
ARA*,Memory Allocation (KB),0.15,7086.9796875,7538.00390625,726.1210158624681,5927.25,7609.484375
ARA*,Memory Allocation (KB),0.2,7541.43203125,7514.83203125,85.88309372045197,7460.328125,7747.75
ARA*,Memory Allocation (KB),0.25,6946.9421875,7401.80859375,860.0151063996941,5909.6953125,8011.1015625
ARA*,Memory Allocation (KB),0.3,6697.2015625,6764.078125,1210.378631513033,4213.84375,8440.8828125
ARA*,Memory Allocation (KB),0.3500000000000001,5817.44609375,4815.4765625,1828.6676543189524,4017.984375,10152.96875
ARA*,Memory Allocation (KB),0.4000000000000001,6942.57578125,5457.123046875,3559.1247665273827,2639.71875,13830.30859375
RTAA**,Memory Allocation (KB),0.1,12822.858671875,12823.60546875,29.81834993137882,12772.03515625,12869.03515625
RTAA**,Memory Allocation (KB),0.15,12848.63125,12847.984375,38.64706521183781,12777.83203125,12906.97265625
RTAA**,Memory Allocation (KB),0.2,12866.553125,12874.4296875,52.9770476783519,12797.65234375,12967.43359375
RTAA**,Memory Allocation (KB),0.25,12854.8796875,12871.1015625,46.977606220777304,12764.22265625,12917.84765625
RTAA**,Memory Allocation (KB),0.3,12855.92578125,12859.93359375,23.225130016842584,12808.53515625,12889.51953125
RTAA**,Memory Allocation (KB),0.3500000000000001,12841.15703125,12833.91015625,29.62146996346936,12794.72265625,12899.19921875
RTAA**,Memory Allocation (KB),0.4000000000000001,12816.17578125,12815.78515625,38.625561812246964,12751.37109375,12883.58203125
LRTA*,Memory Allocation (KB),0.1,12679.389140625,12678.97265625,11.376751840068685,12662.29296875,12703.06640625
LRTA*,Memory Allocation (KB),0.15,12703.97734375,12703.19921875,22.07389405941997,12672.17578125,12746.00390625
LRTA*,Memory Allocation (KB),0.2,12730.471875,12725.45703125,24.532019639558488,12703.01953125,12780.05078125
LRTA*,Memory Allocation (KB),0.25,12745.1640625,12745.6328125,25.407414381564724,12713.01953125,12788.81640625
LRTA*,Memory Allocation (KB),0.3,12795.1171875,12780.98046875,54.06222348619402,12712.63671875,12898.82421875
LRTA*,Memory Allocation (KB),0.3500000000000001,12813.92734375,12791.0,53.61260437944373,12759.67578125,12932.30078125
LRTA*,Memory Allocation (KB),0.4000000000000001,12827.85390625,12818.82421875,70.38979721118886,12722.73828125,12937.87109375
D* Lite,Memory Allocation (KB),0.1,409.0478125,419.80078125,39.28827087569757,354.73046875,553.87890625
